key,title,arxiv_id,status,text_file_count,tex_file_count,bytes_written,source_dir,error
learning-representations-for-counterfactual-inference,Learning Representations for Counterfactual Inference,1605.03661,extracted,16,13,123697,tex_sources/extracted/1605.03661,
estimating-individual-treatment-effect-generalization-bounds-and-algorit,Estimating individual treatment effect: generalization bounds and algorithms,1606.03976,extracted,17,10,259458,tex_sources/extracted/1606.03976,
counterfactual-prediction-with-deep-instrumental-variables-networks,Counterfactual Prediction with Deep Instrumental Variables Networks,1612.09596,extracted,2,1,71250,tex_sources/extracted/1612.09596,
causal-effect-inference-with-deep-latent-variable-models,Causal Effect Inference with Deep Latent-Variable Models,1705.08821,extracted,14,8,144317,tex_sources/extracted/1705.08821,
deep-counterfactual-networks-with-propensity-dropout,Deep Counterfactual Networks with Propensity-Dropout,1706.05966,extracted,3,1,55484,tex_sources/extracted/1706.05966,
deep-learning-for-causal-inference,Deep Learning for Causal Inference,1803.00149,pdf-returned,0,0,0,tex_sources/extracted/1803.00149,
transfer-learning-for-estimating-causal-effects-using-neural-networks,Transfer Learning for Estimating Causal Effects using Neural Networks,1808.07804,extracted,19,17,167163,tex_sources/extracted/1808.07804,
deep-neural-networks-for-estimation-and-inference,Deep Neural Networks for Estimation and Inference,1809.09953,extracted,2,1,187556,tex_sources/extracted/1809.09953,
perfect-match-a-simple-method-for-learning-representations-for-counterfa,Perfect Match: A Simple Method for Learning Representations For Counterfactual Inference With Neural Networks,1810.00656,extracted,3,1,65463,tex_sources/extracted/1810.00656,
heterogeneous-treatment-effect-estimation-through-deep-learning,Heterogeneous Treatment Effect Estimation through Deep Learning,1810.11010,extracted,1,1,67753,tex_sources/extracted/1810.11010,
orthogonal-statistical-learning,Orthogonal Statistical Learning,1901.09036,extracted,3,1,569927,tex_sources/extracted/1901.09036,
time-series-deconfounder-estimating-treatment-effects-over-time-in-the-p,Time Series Deconfounder: Estimating Treatment Effects over Time in the Presence of Hidden Confounders,1902.00450,extracted,16,2,459718,tex_sources/extracted/1902.00450,
deep-generalized-method-of-moments-for-instrumental-variable-analysis,Deep Generalized Method of Moments for Instrumental Variable Analysis,1905.12495,extracted,4,1,91101,tex_sources/extracted/1905.12495,
adapting-neural-networks-for-the-estimation-of-treatment-effects,Adapting Neural Networks for the Estimation of Treatment Effects,1906.02120,extracted,13,7,195584,tex_sources/extracted/1906.02120,
learning-overlapping-representations-for-the-estimation-of-individualize,Learning Overlapping Representations for the Estimation of Individualized Treatment Effects,2001.04754,extracted,6,1,126867,tex_sources/extracted/2001.04754,
treatment-effect-estimation-with-disentangled-latent-factors,Treatment effect estimation with disentangled latent factors,2001.10652,extracted,5,1,435468,tex_sources/extracted/2001.10652,
estimating-counterfactual-treatment-outcomes-over-time-through-adversari,Estimating Counterfactual Treatment Outcomes over Time Through Adversarially Balanced Representations,2002.04083,extracted,16,4,522372,tex_sources/extracted/2002.04083,
double-debiased-machine-learning-nonparametric-inference-with-continuous,Double Debiased Machine Learning Nonparametric Inference with Continuous Treatments,2004.03036,extracted,3,1,507077,tex_sources/extracted/2004.03036,
estimating-individual-treatment-effects-through-causal-populations-ident,Estimating Individual Treatment Effects through Causal Populations Identification,2004.05013,extracted,10,8,70210,tex_sources/extracted/2004.05013,
on-deep-instrumental-variables-estimate,On Deep Instrumental Variables Estimate,2004.14954,extracted,5,1,338929,tex_sources/extracted/2004.14954,
counterfactual-propagation-for-semi-supervised-individual-treatment-effe,Counterfactual Propagation for Semi-Supervised Individual Treatment Effect Estimation,2005.05099,extracted,26,14,548374,tex_sources/extracted/2005.05099,
hi-ci-deep-causal-inference-in-high-dimensions,Hi-CI: Deep Causal Inference in High Dimensions,2008.09858,extracted,4,1,102320,tex_sources/extracted/2008.09858,
